genus,myc
Agapetes,EM
Agarista,NA
Agastache,AM
Agastachys,NM
Agasthiyamalaia,AM
Agasyllis,AM
Agatea,AM
Agathelpis,AMNM
Agathis,AM
Agathisanthemum,AM
Agathophora,AMNM
Agathosma,AM
Agave,AM
Agdestis,NM
Agelaea,AM
Agelanthus,NM
Agenium,AM
Ageratella,AM
Ageratina,AM
Ageratinastrum,AM
Ageratum,AM
Agiortia,EM
Aglaia,AM
Aglaodorum,AMNM
Aglaomorpha,AMNM
Aglaonema,AM
Aglaonema<e6>connatum,AM
Aglossorrhyncha,ORC
Agnesia,AM
Agonandra,AMNM
Agonis,AMEM
Agoseris,AM
Agouticarpa,AM
Agrianthus,AM
Agrimonia,AM
Agriophyllum,AMNM
Agrocalamagrostis,AM
Agropogon,AM
Agropyron,AM
Agropyropsis,AM
Agrostemma,NM
Agrostis,AM
Agrostistachys,AM
Agrostocrinum,AM
Agrostophyllum,ORC
Agrostopoa,AM
Aguiaria,AM
Ahernia,AM
Aichryson,AMNM
Aidia,AM
Aidiopsis,AM
Ailanthus,AM
Aimara,NM
Ainsliaea,AM
Aiouea,AM
Aiphanes,AM
Aira,AMNM
Airopsis,AM
Airosperma,AM
Airyantha,AM
Aistopetalum,AM
Aizoanthemum,AMNM
Aizoon,AMNM
Ajania,AM
Ajaniopsis,AM
Ajuga,AM
Ajugoides,AM
Akania,AM
Akeassia,AM
Akebia,AM
Akrosida,AM
Akschindlium,AM
Alafia,AM
Alamania,ORC
Alangium,AM
Alania,AM
Alantsilodendron,AM
Alatiliparis,ORC
Alatococcus,AM
Alatoseta,AM
Alberta,AM
Albertinia,AM
Albertisia,AM
Albidella,AMNM
Albizia,AM
Albraunia,AMNM
Albuca,AM
Alcalthaea,AM
Alcantarea,AMNM
Alcea,AM
Alchemilla,AM
Alchornea,AM
Alchorneopsis,AM
Aldama,AM
Aldanea,AMNM
Aldina,EM
Aldrovanda,NM
Alectra,AMNM
Alectryon,AM
Aleisanthia,AM
Aleisanthiopsis,AM
Alepidea,AM
Alepidocline,AM
Alepis,NM
Aletris,AM
Aleurites,AM
Aleuritopteris,AM
Alexa,AM
Alexfloydia,AM
Alexgeorgea,AMNM
Alfaroa,EM
Alfredia,AM
Algernonia,AM
Algrizea,AM
Alhagi,AM
Alibertia,AM
Alicia,AM
Aliciella,AM
Aliella,AM
Aliopsis,AM
Alisma,AMNM
Alistilus,AM
Alkanna,AMNM
Alkekengi,AM
Allagopappus,AM
Allagoptera,AM
Allamanda,AM
Allanblackia,AM
Allantodia,AM
Allantoma,AM
Allantospermum,AM
Allardia,AM
Alleizettella,AM
Allenrolfea,AMNM
Allexis,AM
Alliaria,NM
Allionia,AMNM
Allittia,AM
Allium,AM
Allmania,AMNM
Allmaniopsis,AMNM
Allocassine,AM
Allocasuarina,AMEM
Allocheilos,AM
Allochrusa,NM
Alloeochaete,AM
Alloispermum,AM
Allolepis,AM
Allomaieta,AM
Allomarkgrafia,AM
Allomorphia,AM
Alloneuron,AM
Allophylastrum,AM
Allophyllum,AM
Allophylus,AM
Alloplectus,AM
Allopterigeron,AM
Alloschemone,AMNM
Allosidastrum,AM
Allospondias,AM
Allostigma,AM
Allosyncarpia,EM
Alloteropsis,AM
Allotropa,EM
Allowissadula,AM
Allowoodsonia,AM
Alloxylon,NM
Alluaudia,NA
Alluaudiopsis,NA
Almaleea,AMEM
Almeidea,AM
Almutaster,AM
Alniphyllum,AM
Alnus,EM
Alocasia,AMNM
